HBP_CELL:0000000,NIFCELL:sao1813327414
HBP_CELL:0000001,NIFCELL:sao1417703748
HBP_CELL:0000002,NIFCELL:sao313023570
HBP_CELL:0000003,NIFCELL:sao1417703748
HBP_CELL:0000004,NIFCELL:sao1417703748
HBP_CELL:0000005,NIFCELL:sao1417703748
HBP_CELL:0000006,NIFCELL:sao1417703748
HBP_CELL:0000007,NIFCELL:sao1417703748
HBP_CELL:0000008,NIFCELL:sao1417703748
HBP_CELL:0000009,NIFCELL:sao1417703748
HBP_CELL:0000010,NIFCELL:sao1417703748
HBP_CELL:0000011,ILX:0050005
HBP_CELL:0000012,ILX:0050006
HBP_CELL:0000013,ILX:0050007
HBP_CELL:0000014,NIFNEURON:nlx_cell_10061212
HBP_CELL:0000015,ILX:0050008
HBP_CELL:0000016,NIFNEURON:nlx_cell_10061010
HBP_CELL:0000017,NIFNEURON:nlx_cell_10061313
HBP_CELL:0000018,NIFCELL:sao2128417084
HBP_CELL:0000019,NIFCELL:sao1417703748
HBP_CELL:0000020,NIFCELL:sao1417703748
HBP_CELL:0000021,NIFNEURNT:nlx_neuron_nt_090804,"(rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#subClassOf'), 'NIFMOL:sao1744435799')"
HBP_CELL:0000022,NIFNEURNT:nlx_neuron_nt_090803,"(rdflib.term.URIRef('http://www.w3.org/2000/01/rdf-schema#subClassOf'), 'NIFMOL:sao229636300')"
HBP_CELL:0000023,ILX:0050009
HBP_CELL:0000024,ILX:0050010
HBP_CELL:0000025,NIFCELL:sao1236796660
HBP_CELL:0000026,NIFCELL:nifext_53
HBP_CELL:0000027,ILX:0050011
HBP_CELL:0000028,NIFCELL:nifext_49
HBP_CELL:0000029,ILX:0050012
HBP_CELL:0000030,ILX:0050013
HBP_CELL:0000031,ILX:0050014
HBP_CELL:0000032,ILX:0050015
HBP_CELL:0000033,NIFCELL:sao1417703748
HBP_CELL:0000034,NIFCELL:sao1417703748
HBP_CELL:0000035,ILX:0050016
HBP_CELL:0000036,ILX:0050017
HBP_CELL:0000037,ILX:0050018
HBP_CELL:0000038,ILX:0050019
HBP_CELL:0000039,ILX:0050020
HBP_CELL:0000040,ILX:0050021
HBP_CELL:0000041,ILX:0050022
HBP_CELL:0000042,ILX:0050023
HBP_CELL:0000043,ILX:0050024
HBP_CELL:0000044,ILX:0050025
HBP_CELL:0000045,ILX:0050026
HBP_CELL:0000046,ILX:0050027
HBP_CELL:0000047,ILX:0050028
HBP_CELL:0000048,ILX:0050029
HBP_CELL:0000049,ILX:0050030
HBP_CELL:0000050,ILX:0050031
HBP_CELL:0000051,ILX:0050032
HBP_CELL:0000052,NIFCELL:nifext_56
HBP_CELL:0000053,NIFCELL:nifext_81
HBP_CELL:0000054,ILX:0050033
HBP_CELL:0000055,NIFCELL:nifext_55
HBP_CELL:0000056,ILX:0050034
HBP_CELL:0000057,ILX:0050035
HBP_CELL:0000058,ILX:0050036
HBP_CELL:0000059,NIFCELL:nifext_59
HBP_CELL:0000060,NIFCELL:nifext_57
HBP_CELL:0000061,ILX:0050037
HBP_CELL:0000062,ILX:0050038
HBP_CELL:0000063,ILX:0050039
HBP_CELL:0000064,ILX:0050040
HBP_CELL:0000065,ILX:0050041
HBP_CELL:0000066,ILX:0050042
HBP_CELL:0000067,ILX:0050043
HBP_CELL:0000068,ILX:0050044
HBP_CELL:0000069,ILX:0050045
HBP_CELL:0000070,NIFCELL:sao1417703748
HBP_CELL:0000071,NIFCELL:sao1417703748
HBP_CELL:0000072,ILX:0050046
HBP_CELL:0000073,ILX:0050047
HBP_CELL:0000074,ILX:0050048
HBP_CELL:0000075,ILX:0050049
HBP_CELL:0000076,ILX:0050050
HBP_CELL:0000077,ILX:0050051
HBP_CELL:0000078,ILX:0050052
HBP_CELL:0000079,ILX:0050053
HBP_CELL:0000080,ILX:0050054
HBP_CELL:0000081,ILX:0050055
HBP_CELL:0000082,ILX:0050056
HBP_CELL:0000083,ILX:0050057
HBP_CELL:0000084,ILX:0050058
HBP_CELL:0000085,ILX:0050059
HBP_CELL:0000086,ILX:0050060
HBP_CELL:0000087,ILX:0050061
HBP_CELL:0000088,ILX:0050062
HBP_CELL:0000089,ILX:0050063
HBP_CELL:0000091,ILX:0050064
HBP_CELL:0000092,ILX:0050065
HBP_CELL:0000093,ILX:0050066
HBP_CELL:0000094,ILX:0050067
HBP_CELL:0000095,ILX:0050068
HBP_CELL:0000096,ILX:0050069
HBP_CELL:0000097,ILX:0050070
HBP_CELL:0000098,ILX:0050071
HBP_CELL:0000099,ILX:0050072
HBP_CELL:0000100,ILX:0050073
HBP_CELL:0000101,ILX:0050074
HBP_CELL:0000102,ILX:0050075
HBP_CELL:0000103,ILX:0050076
HBP_CELL:0000104,ILX:0050077
HBP_CELL:0000105,ILX:0050078
HBP_CELL:0000106,ILX:0050079
HBP_CELL:0000107,ILX:0050080
HBP_CELL:0000108,ILX:0050081
HBP_CELL:0000109,ILX:0050082
HBP_CELL:0000110,ILX:0050083
HBP_CELL:0000111,ILX:0050084
HBP_CELL:0000112,ILX:0050085
HBP_CELL:0000113,ILX:0050086
HBP_CELL:0000114,ILX:0050087
HBP_CELL:0000115,ILX:0050088
HBP_CELL:0000116,ILX:0050089
HBP_CELL:0000117,ILX:0050090
HBP_CELL:0000118,ILX:0050091
HBP_CELL:0000119,ILX:0050092
HBP_CELL:0000120,ILX:0050093
HBP_CELL:0000121,ILX:0050094
HBP_CELL:0000122,ILX:0050095
HBP_CELL:0000123,ILX:0050096
HBP_CELL:0000124,ILX:0050097
HBP_CELL:0000125,ILX:0050098
HBP_CELL:0000126,ILX:0050099
HBP_CELL:0000127,ILX:0050100
HBP_CELL:0000128,ILX:0050101
HBP_CELL:0000129,ILX:0050102
HBP_CELL:0000130,ILX:0050103
HBP_CELL:0000131,ILX:0050104
HBP_CELL:0000132,ILX:0050105
HBP_CELL:0000133,ILX:0050106
HBP_CELL:0000134,ILX:0050107
HBP_CELL:0000135,NIFCELL:nlx_81310
HBP_CELL:0000136,ILX:0050108
HBP_CELL:0000137,ILX:0050109
HBP_CELL:0000138,NIFCELL:nlx_cell_091206
HBP_CELL:0000139,NIFCELL:nlx_27085
HBP_CELL:0000140,ILX:0050110
HBP_CELL:0000141,NIFCELL:nlx_cell_091205
HBP_CELL:0000142,ILX:0050111
HBP_CELL:0000143,ILX:0050112
HBP_CELL:0000144,NIFCELL:nlx_35220
HBP_CELL:0000145,NIFCELL:sao830368389
HBP_CELL:0000146,NIFCELL:nlx_cell_100209
HBP_CELL:0000147,NIFCELL:nlx_cell_100209
